first_name	last_name	sessioon	sessiooniettepanek	contribution_type (registreerimisvormil)	tasu laekunud	vastas piletite küsimusele	ajasoovid	contribution_title	contribution_coauthors	contribution_abstract
Dmitry	Bryukhov	notComing		nothing		Not coming				
Nele	De Schepper	notComing		talkAnalysis	Yes	Not coming		New results on the radially deformed Dirac operator	Hendrik De Bie and David Eelbode	Let {ei},i=1,…,m, be an orthonormal basis of Rm. The orthogonal Clifford algebra Clm is generated by this basis under the relations eiej+ejei=−2δij. It is well-known that the classical Dirac operator ∂x−=∑mi=1ei∂xi and its Fourier symbol x−=∑mi=1eixi generate via Clifford multiplication a natural Lie superalgebra osp(1|2) contained in the Clifford-Weyl algebra. More surprisingly, this carries over to a natural family of deformations of the Dirac operator. Indeed, the radially deformed Dirac operator D:=∂x−+c|x−|−2x−E,c>−1 and the vector variable x− also form a realization of osp(1|2) in the Clifford-Weyl algebra. Here E=∑mi=1xi∂xi is the Euler operator measuring the degree of homogeneity. In [H. De Bie, B. Orsted, P. Somberg and V. Soucek, Dunkl operators and a family of realizations of osp(1|2). Trans. Amer. Math. Soc. 364 (2012), 3875--3902] several function theoretical aspects of the operator D are studied, such as the associated measure, the Fischer decomposition, the related Laguerre polynomials and the associated Fourier transform defined by FD=eiπ2(12+m−12(1+c))e−iπ4(1+c)2(D2−(1+c)2x−2). The investigation of this radially deformed Fourier transform is continued in [H. De Bie, B. Orsted, P. Somberg and V. Soucek, The Clifford deformation of the Hermite semigroup. SIGMA 9 (2013), 010, 22 pages], using a group theoretical approach. The aim of this talk is to further develop the study of the radially deformed Dirac operator, focussing on the conformal structure of D and the derivation of an explicit form for the kernel of the deformed Fourier transform FD. More precisely, we construct a set of differential operators that leave the kernel of D invariant. These set of generalised symmetries of D generate a Lie algebra which is isomorphic to the conformal Lie algebra so(m+1,1). Next, a version of Stokes' theorem for the radially deformed Dirac operator is obtained. Moreover, explicit formulas for the kernel of the radially deformed Fourier transform FD are obtained when the dimension is even and 1+c=1n, n∈N0∖{1} with n odd. Finally, the realization of osp(1|2) is generalized by adding suitable odd powers of Γ=−x−∂x−−E to the radially deformed Dirac operator.
Carlile	Lavor	notComing		talkFromSignalsToConsciousness		Not coming		Clifford Algebra in Distance Geometry	Rafael Alves and Valter Camargo	
Olga	Liivapuu	notComing		talk						
Dennis	Marks	notComing		talk		Not coming				
Gregory	Wene	notComing		talkAnalysis	Yes	Not coming		Six Permutations of Frobenius and Clifford Algebras		The three indices of the multiplication constants of any algebra may be permuted. Any permutation of the multiplication constants of a finite division ring determines a new division ring. We examine those algebras that result upon permuting the indices of the multiplication constants of Frobenius and Clifford algebras.
Mohammed	Attaallah	nothing		nothing						
Fred	Brackx	nothing		nothing	Yes	Coming				
Akinwunmi David	Coker	nothing		nothing						
ebenezer	daniel	nothing		nothing						
Rishi Ram	Dawadi	nothing		talk				non		non
Suleyman	Demir	nothing		nothing						
Filippo	Demonte Barbera 	nothing		nothing						
Mohsin	Jamil	notComing		nothing		Not coming				
Simon	Kiefhaber	nothing		nothing	Yes	Coming				
Alan	Macdonald	nothing		nothing		Coming				
ABDELMALEK	MOHAMMED	nothing		nothing						
Bernardo	Montero	nothing		nothing						
Rahul	Nigam	nothing		nothing						
OLASUNKANMI O.	OGUNMAKIN	nothing		nothing						
AFOLABI MICHEAL	OJO	nothing		nothing						
Nicholas	Okamoto	nothing		nothing	Yes	Coming				
patrick	osei	nothing		nothing						
Deividas	Sabonis	notComing		nothing		Not coming				
Aleksandr	Sevastjanov	nothing		nothing						
Rajiv Kumar 	Shrestha	nothing		talk				non	non 	non 
Muhammad	Sohail	nothing		nothing		Hasn't received invitation				
Tulay	Tolan	nothing		nothing						
jalaledin	yousefi koupaei	nothing		nothing		Coming				
Viktor	Abramov	talkTernary								
Pierre	Anglès	talkConformal	history	talk	Yes	Coming	Aug 4 or Aug 5	2°) A Few comments on the birth and the progress of Clifford algebras		Second lecture.A precise epistemological study of the mathematical work of W. K. Clifford will be given. Many examples will be presented such as by the way of the study of the even Clifford algebra of the standard Euclidean plane,Miquel's theorem; Clifford's chain theorem; Clifford general theory of anharmonics and the Clifford-Hopf fibration. 
