MON-PLEN-1	David	Eelbode	Transvector algebras in Clifford analysis
MON-PLEN-2	Eckhard	Hitzer	Quaternion Domain Fourier Transformation
			
MON-403-1	Martin	Reinhardt	Monogenic Signals, Riesz Transform and Quaternions for Image Processing
MON-403-2	Tim	Raeymaekers	Properties of the Clifford Fourier transform for color image processing
MON-403-3	David	Eelbode	Operator exponentials for the Clifford-Fourier transform
MON-403-4	Swanhild	Bernstein	Riesz transforms in image processing and optics
MON-403-5	Isabel	Cacao	Quaternionic Zernike Spherical Polynomials
MON-403-6	Roy	Oste	Unique characterization of the Fourier transform and generalized transforms
MON-403-7	Lander	Cnudde	Slice monogenic functions: algebraic approach and associated Clifford-Fourier transform
			
MON-404-1	Arturas	Acus	Calculation of eigens with geometrical algebra rotors
MON-404-2	Pierre	Anglès	A Few comments on the birth and the progress of Clifford algebras
MON-404-3	Jacques	Helmstetter	Conformal Groups and Vahlen Matrices
MON-404-4	Zbigniew	Oziewicz	Clifford algebra is the Frobenius algebra
MON-404-5	Patrice	Ntumba	Filtered Clifford A-algebras and orthogonal sums
MON-404-6	Yue	Liu	Basis-Free Quaternionic or Clifford Polynomial Manipulations: Mathematical Completeness 
MON-404-7	Dmitry	Shirokov	The method of contractions in Clifford algebras
			
TUE-PLEN-1	Daniel	Alpay	Schur analysis in the quaternionic setting
TUE-PLEN-2	Irene	Sabadini	Some functions spaces in the slice hyperholomorphic setting
TUE-PLEN-3	Pierre	Anglès	Conformal spin structures
			
TUE-403-1	Sirkka-Liisa 	Eriksson	Cauchy type integral formulas for k-hypermonogenic functions
TUE-403-2	Heikki	Orelma	Vekua systems in Hyperbolic Harmonic Analysis
TUE-403-3	Vesa	Vuojamo	Hyperbolic function theory in the plane
TUE-403-4	Helmuth	Malonek	Recurrence formulae for sequences of monogenic polynomials 
TUE-403-5	Paula	Cerejeiras	TBA
TUE-403-6	Antonio 	Di Teodoro	Necessary and Sufficient Conditions for Associated q-generalized Differential Operators in Quaternionic Analysis and Applications to Initial Value Problems
TUE-403-7	Dixan 	Peña Peña	Special functions and systems in Hermitian Clifford analysis
TUE-403-8	Michael	Wutzig	Reproducing kernels in hermitian Clifford analysis
			
TUE-404-1	Vladimir	Dzhunushaliev	Nonassociatuve generalization of supersymmetry 
TUE-404-2	Anthony	Lasenby	f(R) theories and Gauge Theory Gravity
TUE-404-3	Valeriy	Dvoeglazov	Energy-Momentum Tensor in Electromagnetic Theory and Gravitation from Relativistic Quantum Equations
TUE-404-4	Kelvyn	Brito	The non-anticommutative supersymmetric Wess-Zumino model
TUE-404-5	WALDYR	RODRIGUES	Notes on Conservation Laws, Equations of Motion of Matter Fields, Lie Derivative of Spinor Fields in Lorentzian and Teleparallel de Sitter Spacetime Structures
TUE-404-6	MURAT	TANISLI	ELECTROMAGNETIC ENERGY CONSERVATION WITH OCTON
TUE-404-7	Rogerio	Cavalcanti	VSR symmetries in the DKP algebra: the interplay between Dirac and Elko spinor fields
TUE-404-8	Ott	Vilson	TBA
			
TUE-405-1	David	Hestenes	Electrodynamics of Electrons and Brains
TUE-405-2	Joan	Lasenby	Using Geometric Algebra to determine a set of consistent rotations from multiple local observations
TUE-405-3	Eduardo 	Bayro-Corrochano	Geometric Perception of Pose and Tracking
TUE-405-4	Serdal	Sahin	A New Expression for Higher Order Accelerations and Poles under the One Parameter Planar Hyperbolic Homothetic Motions
TUE-405-5	Elio	Conte	On the Primitive Elements of Cognition and Consciousness explained in a Clifford algebraic formulation of Quantum Mechanics.
TUE-405-6	Steven	Lehar	Geometric Algebra: A Unique Window on the Inner Workings of Mind in Perception and Visual Consciousness
TUE-405-7	Eduardo 	Bayro-Corrochano	Geometric Entities Voting Schemes Using the Conformal Geometric Algebra Framework
TUE-405-8	Eduardo 	Bayro-Corrochano	Lie Group Motor EKF
			
THU-PLEN-1	Carlos 	Castro Perelman 	Novel Physical Consequences of Clifford Space Relativity Theory 
THU-PLEN-2	Klaus	Guerlebeck	On $\Psi$-hyperholomorphic functions
THU-PLEN-3	Uwe	Kaehler	Fractional Clifford Analysis
			
THU-403-1	Paul	Leopardi	The abstract Hodge-Dirac operator and its stable discretization
THU-403-2	Hilde	De Ridder	Fueter's theorem in discrete Clifford analysis
THU-403-3	Dmitrii	Legatiuk	Theoretical aspects of coupling of function theoretic methods and finite element method
THU-403-4	Irene	Sabadini	Approximation properties for functions of a quaternionic variable
THU-403-5	Hendrik	De Bie	The kernel of the Dunkl Dirac operator as a module for the Bannai-Ito algebra
THU-403-6	Fabrizio	Colombo	Some results on the F-functional calculus
